,Log_Return
255,-0.01011782204626258
256,0.025296474818173105
257,-0.02023769175796312
258,0.020237691757953598
259,-0.035413273264780235
260,0.04047333621303466
261,-0.04553135165118068
262,0.04047128870291196
263,-0.03035500197849001
264,0.02023564414430605
265,-0.025293915430590636
266,0.035413273264777126
267,-0.015178652771927715
268,0.020238715720183622
269,0.0
270,0.0
271,-0.035415064926763
272,0.03541506492676257
273,0.0
274,-0.030356537766444744
275,0.015177116984000929
276,0.01011935783419664
277,-0.025296474818186063
278,0.0
279,0.0
280,0.025296474818173105
281,-0.02023769175796312
282,0.005059038986030796
283,0.0
284,0.020238715720183622
285,-0.005060062948267195
286,-0.010119357834187048
287,0.0
288,0.015179420782458822
289,0.0
290,-0.020238715720187813
291,0.020238715720183622
292,0.0
293,0.0
294,-0.020238715720187813
295,0.020238715720183622
296,-0.005060062948267195
297,0.0
298,-0.025296474818186063
299,0.025296474818173105
300,-0.03035500197849001
301,0.03541506492676257
302,0.0
303,-0.015179420782454999
304,-0.01011833392376727
305,-0.0050587830602220945
306,0.005058783060219108
307,0.020237691757953598
308,-0.02023769175796312
309,-0.015175581506818511
310,0.035413273264777126
311,0.0
312,-0.04047128870291825
313,0.01011628672442387
314,-0.010116286724424961
315,0.02023359694495678
316,0.025297754706227242
317,11.631602433824074
318,-11.63160243382406
319,11.967543897433384
320,6.424540430560516
321,3.553431407295091
322,-3.346431071585785
323,3.138682611638162
324,-1.460873396843611
325,-0.648646915847376
326,0.28982667698408654
327,0.6816194340575137
328,-0.6074863246705854
329,0.09892971233062192
330,-0.5059833948104447
331,-0.15375535022477774
332,-1.3793237947561205
333,-18.09254725777372
334,0.005058271286283243
335,0.03035500197849967
336,14.058882451868074
337,-14.084178926686253
338,10.351805321214842
339,-10.326508846396653
340,10.584919987267643
341,-10.584919987267636
342,0.0
343,10.135937579546898
344,-10.13593757954689
345,11.007679711874367
346,0.7939655275818108
347,-11.821882931214143
348,11.32208351401204
349,-11.337259095518865
350,0.005058271286283243
351,0.03541506492676257
352,-0.025297754706218818
353,0.025297754706227242
354,-0.040473336213038356
355,0.035413273264777126
356,-0.035413273264780235
357,0.01517558150682234
358,0.025297754706227242
359,
